General information :

File	Capture018.ptw
Frame	854
Total frames	1484
time	15:42:42.177
Interval start	15:42:25.097
Interval end	15:42:54.777
Format	160	128


Timing-graph Data :

(time)	1 Mean  (°C)
15:42:42.798	2714.19
15:42:42.817	2714.88
15:42:42.838	2714.87
15:42:42.858	2714.65
15:42:42.878	2714.34
15:42:42.898	2714.44
15:42:42.917	2714.37
15:42:42.938	2714.71
15:42:42.957	2714.96
15:42:42.978	2714.51
15:42:42.997	2714.75
15:42:43.018	2714.87
15:42:43.038	2714.12
15:42:43.057	2715.11
15:42:43.078	2715.11
15:42:43.097	2715.78
15:42:43.118	2714.68
15:42:43.137	2715.27
15:42:43.158	2714.43
15:42:43.177	2715.39
15:42:43.198	2714.48
15:42:43.218	2715.23
15:42:43.237	2714.89
15:42:43.258	2715.85
15:42:43.277	2715.14
15:42:43.298	2715.63
15:42:43.317	2715.19
15:42:43.338	2715.44
15:42:43.358	2715.26
15:42:43.378	2715.39
15:42:43.398	2715.30
15:42:43.417	2714.89
15:42:43.438	2715.46
15:42:43.457	2714.72
15:42:43.478	2715.60
15:42:43.497	2714.82
15:42:43.518	2716.05
15:42:43.538	2714.72
15:42:43.557	2715.75
15:42:43.578	2714.66
15:42:43.597	2715.69
15:42:43.618	2714.97
15:42:43.637	2715.42
15:42:43.658	2715.14
15:42:43.677	2715.41
15:42:43.698	2715.22
15:42:43.718	2715.55
15:42:43.737	2715.58
15:42:43.758	2715.57
15:42:43.777	2715.30
15:42:43.798	2715.64
15:42:43.817	2715.27
15:42:43.838	2715.41
15:42:43.858	2715.19
15:42:43.878	2715.53
15:42:43.898	2715.06
15:42:43.917	2715.54
15:42:43.938	2714.72
15:42:43.957	2716.43
15:42:43.978	2715.11
15:42:43.997	2716.26
15:42:44.018	2715.04
15:42:44.038	2716.11
15:42:44.057	2715.01
15:42:44.078	2715.50
15:42:44.097	2714.59
15:42:44.118	2715.57
15:42:44.137	2715.74
15:42:44.158	2715.28
15:42:44.177	2715.20
15:42:44.198	2715.59
15:42:44.218	2715.93
15:42:44.237	2715.83
