(time)	1 Max  (°C)	1 Mean  (°C)
16:48:15.454	1454.42	1421.38
16:48:15.474	1453.21	1420.60
16:48:15.494	1446.57	1412.26
16:48:15.514	1449.59	1412.09
16:48:15.534	1436.26	1402.34
16:48:15.555	1437.47	1401.32
16:48:15.574	1439.90	1404.02
16:48:15.595	1447.78	1414.11
16:48:15.614	1445.36	1410.01
16:48:15.634	1448.99	1411.10
16:48:15.654	1448.99	1412.17
16:48:15.674	1450.19	1415.78
16:48:15.694	1452.61	1415.56
16:48:15.714	1448.99	1412.91
16:48:15.735	1453.21	1416.25
16:48:15.754	1450.19	1413.91
16:48:15.774	1452.61	1416.19
16:48:15.794	1457.43	1420.81
16:48:15.814	1457.43	1418.40
16:48:15.834	1452.61	1415.35
16:48:15.854	1457.43	1419.96
16:48:15.875	1455.02	1420.23
16:48:15.894	1456.23	1417.88
16:48:15.915	1461.04	1420.39
16:48:15.934	1463.44	1420.25
16:48:15.954	1457.43	1418.75
16:48:15.974	1459.84	1419.89
16:48:15.994	1461.04	1419.91
16:48:16.014	1460.44	1420.02
16:48:16.034	1464.04	1421.40
16:48:16.055	1461.04	1420.42
16:48:16.074	1462.24	1419.05
16:48:16.095	1462.84	1421.34
16:48:16.114	1458.03	1419.10
16:48:16.134	1462.84	1422.39
16:48:16.154	1464.64	1421.17
16:48:16.174	1464.04	1421.71
16:48:16.194	1464.04	1421.97
16:48:16.214	1467.04	1422.59
16:48:16.235	1470.63	1426.49
16:48:16.254	1465.84	1422.73
16:48:16.274	1468.24	1424.08
16:48:16.294	1464.04	1421.75
16:48:16.314	1466.44	1422.62
16:48:16.334	1468.24	1423.31
16:48:16.354	1467.04	1425.38
16:48:16.375	1465.24	1423.08
16:48:16.394	1467.64	1424.31
16:48:16.415	1465.84	1422.93
16:48:16.434	1464.04	1423.86
16:48:16.454	1467.04	1423.67
16:48:16.474	1469.44	1423.86
16:48:16.494	1468.84	1425.93
16:48:16.514	1470.03	1423.80
16:48:16.534	1467.04	1425.07
16:48:16.555	1470.03	1425.51
16:48:16.574	1467.64	1427.01
16:48:16.595	1468.84	1425.81
16:48:16.614	1466.44	1424.29
16:48:16.634	1468.24	1425.02
16:48:16.654	1468.84	1426.66
16:48:16.674	1471.23	1426.52
16:48:16.694	1469.44	1429.59
16:48:16.714	1466.44	1427.05
