(time)	1 Max  (°C)
17:14:47.885	1853.30
17:14:47.904	1858.14
17:14:47.924	1855.72
17:14:47.944	1860.90
17:14:47.964	1857.10
17:14:47.985	1867.44
17:14:48.004	1870.19
17:14:48.025	1874.65
17:14:48.044	1881.50
17:14:48.065	1880.47
17:14:48.084	1877.39
17:14:48.104	1873.28
17:14:48.125	1867.44
17:14:48.144	1869.51
17:14:48.165	1866.76
17:14:48.184	1864.00
17:14:48.205	1869.85
17:14:48.224	1867.44
17:14:48.245	1868.48
17:14:48.264	1875.68
17:14:48.284	1878.42
17:14:48.305	1883.20
17:14:48.324	1883.20
17:14:48.345	1872.60
17:14:48.364	1864.35
17:14:48.385	1863.66
17:14:48.404	1858.48
17:14:48.424	1860.90
17:14:48.444	1856.76
17:14:48.464	1861.93
17:14:48.485	1858.83
17:14:48.504	1858.83
17:14:48.525	1856.06
17:14:48.544	1862.62
17:14:48.565	1860.55
17:14:48.584	1854.68
17:14:48.604	1849.83
17:14:48.625	1855.03
17:14:48.644	1857.79
17:14:48.665	1854.34
17:14:48.684	1856.76
17:14:48.705	1850.53
17:14:48.724	1852.95
17:14:48.745	1860.55
17:14:48.764	1855.03
17:14:48.784	1852.60
17:14:48.805	1848.10
17:14:48.824	1851.57
17:14:48.845	1849.14
17:14:48.864	1849.14
17:14:48.885	1848.10
17:14:48.904	1860.90
17:14:48.924	1864.69
17:14:48.944	1873.63
17:14:48.964	1880.47
17:14:48.985	1884.91
17:14:49.004	1885.25
17:14:49.025	1887.30
17:14:49.044	1885.25
17:14:49.065	1877.39
17:14:49.084	1876.71
17:14:49.104	1872.25
17:14:49.125	1867.44
17:14:49.144	1858.48
17:14:49.165	1853.30
17:14:49.184	1846.71
17:14:49.205	1841.84
17:14:49.224	1840.45
17:14:49.245	1843.23
17:14:49.264	1847.75
17:14:49.284	1850.87
17:14:49.305	1850.18
17:14:49.324	1849.49
17:14:49.345	1851.91
17:14:49.364	1851.57
17:14:49.385	1855.72
17:14:49.404	1852.26
17:14:49.424	1853.64
17:14:49.444	1848.79
17:14:49.464	1847.06
17:14:49.485	1847.75
17:14:49.504	1851.91
17:14:49.525	1848.10
17:14:49.544	1858.48
17:14:49.565	1860.55
17:14:49.584	1859.52
17:14:49.604	1858.83
17:14:49.625	1857.79
17:14:49.644	1857.10
17:14:49.665	1862.62
17:14:49.684	1865.38
17:14:49.705	1864.00
17:14:49.724	1860.90
17:14:49.745	1860.90
17:14:49.764	1863.31
17:14:49.784	1860.55
17:14:49.805	1857.10
17:14:49.824	1861.59
17:14:49.845	1860.90
17:14:49.864	1852.95
17:14:49.885	1864.69
17:14:49.904	1859.86
